,0
Zipcode[T.63353],-83567.83811401732
Zipcode[T.63362],-129272.72060380406
Zipcode[T.63373],-80421.82436481283
Zipcode[T.63376],23602.613763015972
Zipcode[T.63380],-110684.88359579652
Zipcode[T.63384],-116519.49288222106
Zipcode[T.63401],1163.7205228406224
Zipcode[T.63434],-111636.9323784506
Zipcode[T.63435],-97342.01944735784
Zipcode[T.63441],-74606.4579477261
Zipcode[T.63443],-114172.33334683992
Zipcode[T.63453],-81037.12073625905
Zipcode[T.63457],-89296.88962688824
Zipcode[T.63471],-130114.63958501598
Zipcode[T.63474],-127492.32974005902
Zipcode[T.63531],-55315.10980396296
Zipcode[T.63534],-82967.90874167687
Zipcode[T.63543],-100516.63755982267
Zipcode[T.63544],-134544.1212946154
Zipcode[T.63545],-88703.0215283286
Zipcode[T.63546],-24468.1697198323
Zipcode[T.63548],-122813.64060011083
Zipcode[T.63555],-95581.44660046614
Zipcode[T.63563],-8737.954345434286
Zipcode[T.63601],-124950.05746647254
Zipcode[T.63627],-128430.86103714716
Zipcode[T.63630],-141550.67871764165
Zipcode[T.63631],-85637.7369906576
Zipcode[T.63633],-100718.11330516452
Zipcode[T.63637],-133437.6581654028
Zipcode[T.63638],-109378.91777001493
Zipcode[T.63640],-121379.36307962818
Zipcode[T.63645],-93877.7982164457
Zipcode[T.63701],-61702.05072698611
Zipcode[T.63736],-156650.16814404784
Zipcode[T.63748],-85151.86493141529
Zipcode[T.63751],-111892.42716975327
Zipcode[T.63760],-158387.798773197
Zipcode[T.63801],-123403.6599356321
Zipcode[T.63821],-168457.56325551885
Zipcode[T.63822],-125592.18686317766
Zipcode[T.63825],-93874.97915012162
Zipcode[T.63827],-51422.21048313864
Zipcode[T.63830],-32026.12595433377
Zipcode[T.63834],82412.09233238567
Zipcode[T.63841],-39291.78799356933
Zipcode[T.63851],-108215.20762267402
Zipcode[T.63852],-76579.4110106446
Zipcode[T.63855],-31745.811369627307
Zipcode[T.63857],-106873.68599031732
Zipcode[T.63863],-59719.43100438679
Zipcode[T.63869],-92308.56823223858
Zipcode[T.63873],-80571.69010587731
Zipcode[T.63876],-88531.49068190684
Zipcode[T.63877],-98378.11089803326
Zipcode[T.63901],19041.67973962029
Zipcode[T.63932],-84005.07014755081
Zipcode[T.63935],-98126.81469046859
Zipcode[T.63937],-76273.50058815333
Zipcode[T.63940],-54272.56907385016
Zipcode[T.63941],-119175.15150306468
Zipcode[T.63942],-102127.02179693889
Zipcode[T.63943],-106114.72598485643
Zipcode[T.63945],-90061.54140071518
Zipcode[T.63951],-53137.43443208388
Zipcode[T.63952],-97340.26498449656
Zipcode[T.63954],-81734.87064522819
Zipcode[T.63957],-81597.65620088027
Zipcode[T.63960],-54525.05557801675
